Total details with discrepancy/damage for session d1d3b0cd-08e4-4bae-af6d-6afa729b78cd: 288
 80: I100125 | Khoai môn cao                  | HT: -14.5    | TT: 0        | Huy: 0        | Lệch: -14.5    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 81: I100114 | Húng quế                       | HT: -12.4    | TT: 0        | Huy: 2        | Lệch: -14.4    | Ghi chú: "Điều chỉnh tăng từ Excel"
 82: I101129 | Thơm chín (kg)                 | HT: -14.2    | TT: 0        | Huy: 0        | Lệch: -14.2    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 83: I100074 | Củ sen                         | HT: -14.07   | TT: 0        | Huy: 0        | Lệch: -14.07   | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 84: I100474 | Chanh Dây                      | HT: -2.75    | TT: 11       | Huy: 0        | Lệch: -13.75   | Ghi chú: "Điều chỉnh tăng từ Excel"
 85: I100136 | Lá dứa                         | HT: -11.1    | TT: 2        | Huy: 0        | Lệch: -13.1    | Ghi chú: "Điều chỉnh tăng từ Excel"
 86: I100183 | Rau muống bào                  | HT: -12.5    | TT: 0        | Huy: 0        | Lệch: -12.5    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 87: I100096 | Gừng còn vỏ VN                 | HT: -12.5    | TT: 0        | Huy: 0        | Lệch: -12.5    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 88: I100154 | Ngò gai                        | HT: -12.3    | TT: 0        | Huy: 0        | Lệch: -12.3    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 89: I100253 | Bánh ướt                       | HT: -12      | TT: 0        | Huy: 0        | Lệch: -12      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 90: I100498 | Ổi trái                        | HT: -6.9     | TT: 5        | Huy: 0        | Lệch: -11.9    | Ghi chú: "Điều chỉnh tăng từ Excel"
 91: I100163 | Ớt Batri (Cay)                 | HT: -11.6    | TT: 0        | Huy: 0        | Lệch: -11.6    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 92: I100480 | Dưa hấu không hạt              | HT: -11.5    | TT: 0        | Huy: 0        | Lệch: -11.5    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 93: I100255 | Bún bò                         | HT: -11      | TT: 0        | Huy: 0        | Lệch: -11      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 94: I100891 | Thơm chín                      | HT: -7       | TT: 0        | Huy: 4        | Lệch: -11      | Ghi chú: "Điều chỉnh tăng từ Excel"
 95: I100266 | Hủ tiếu xào                    | HT: -11      | TT: 0        | Huy: 0        | Lệch: -11      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 96: I100129 | Khoai Tây TQ                   | HT: -10.9    | TT: 0        | Huy: 0        | Lệch: -10.9    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 97: I100506 | Táo xanh VN                    | HT: -7.8     | TT: 3        | Huy: 0        | Lệch: -10.8    | Ghi chú: "Điều chỉnh tăng từ Excel"
 98: I100099 | Hành Paro                      | HT: -7.75    | TT: 2        | Huy: 0.8      | Lệch: -10.55   | Ghi chú: "Điều chỉnh tăng từ Excel"
 99: I100144 | Măng tây xanh                  | HT: -7       | TT: 3.5      | Huy: 0        | Lệch: -10.5    | Ghi chú: "Điều chỉnh tăng từ Excel"
100: I100004 | Bắp chuối bào                  | HT: -10.5    | TT: 0        | Huy: 0        | Lệch: -10.5    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
101: I100190 | Rau rừng Tây Ninh              | HT: -10.5    | TT: 0        | Huy: 0        | Lệch: -10.5    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
102: I100532 | Nấm Mỡ trắng                   | HT: 0.6      | TT: 11       | Huy: 0        | Lệch: -10.4    | Ghi chú: "Điều chỉnh tăng từ Excel"
103: I100036 | Cà pháo                        | HT: -1       | TT: 9        | Huy: 0        | Lệch: -10      | Ghi chú: "Điều chỉnh tăng từ Excel"
104: I100233 | Trứng gà                       | HT: 101      | TT: 111      | Huy: 0        | Lệch: -10      | Ghi chú: "Điều chỉnh tăng từ Excel"
105: I100467 | Bưởi da xanh                   | HT: -4       | TT: 6        | Huy: 0        | Lệch: -10      | Ghi chú: "Điều chỉnh tăng từ Excel"
106: I100166 | Ớt đà lạt (xanh)               | HT: -1.86    | TT: 7        | Huy: 1        | Lệch: -9.86    | Ghi chú: "Điều chỉnh tăng từ Excel"
107: I100245 | Nấm rơm                        | HT: -9.65    | TT: 0        | Huy: 0        | Lệch: -9.65    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
